,app_name,developer,discount_price,early_access,genres,id,metascore,n_reviews,price,publisher,release_date,reviews_url,sentiment,specs,tags,title,url
2191,The Room Three,"Fireproof GamesPublisher:Fireproof GamesRelease Date: 13 Nov, 2018",,False,"['Adventure', 'Indie']",456750,,1195,599€,"Developer:Fireproof GamesFireproof GamesRelease Date: 13 Nov, 2018","Developer:Fireproof GamesPublisher:Fireproof Games 13 Nov, 2018",http://steamcommunity.com/app/456750/reviews/?browsefilter=mostrecent&p=1,Overwhelmingly Positive,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","['Puzzle', 'Indie', 'Adventure', 'Mystery', 'Atmospheric', 'Point & Click']",The Room Three,https://store.steampowered.com/app/456750/The_Room_Three/
2221,Thief Simulator,"Noble MuffinsPublisher:PlayWay S.A.Release Date: 9 Nov, 2018",,False,"['Action', 'Adventure', 'Indie', 'Simulation']",704850,,2207,1999€,"Developer:Noble MuffinsPlayWay S.A.Release Date: 9 Nov, 2018","Developer:Noble MuffinsPublisher:PlayWay S.A. 9 Nov, 2018",http://steamcommunity.com/app/704850/reviews/?browsefilter=mostrecent&p=1,Mostly Positive,"['Single-player', 'Steam Achievements', 'Partial Controller Support']","['Simulation', 'Stealth', 'Crime', 'Adventure', 'Action', 'First-Person', 'Singleplayer', 'Indie', 'Open World', 'Sandbox', 'Realistic', 'Funny', 'Strategy', 'Heist', 'Atmospheric', 'Silent Protagonist', 'Walking Simulator', 'Casual', 'Exploration', 'Multiplayer']",Thief Simulator,https://store.steampowered.com/app/704850/Thief_Simulator/
2239,Supply Chain Idle,"Upturn GamesPublisher:Upturn GamesRelease Date: 9 Nov, 2018",,False,"['Casual', 'Free to Play']",946040,,114,Free To Play,"Developer:Upturn GamesUpturn GamesRelease Date: 9 Nov, 2018","Developer:Upturn GamesPublisher:Upturn Games 9 Nov, 2018",http://steamcommunity.com/app/946040/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Steam Achievements', 'In-App Purchases', 'Steam Cloud', 'Stats', 'Profile Features Limited\xa0', '', '']","['Free to Play', 'Casual', 'Clicker']",Supply Chain Idle,https://store.steampowered.com/app/946040/Supply_Chain_Idle/
2245,SimpleRockets 2,"Jundroo, LLCPublisher:Jundroo, LLCRelease Date: 8 Nov, 2018",,True,"['Indie', 'Simulation', 'Early Access']",870200,,349,1249€,"Developer:Jundroo, LLCJundroo, LLCRelease Date: 8 Nov, 2018","Developer:Jundroo, LLCPublisher:Jundroo, LLC 8 Nov, 2018",http://steamcommunity.com/app/870200/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Steam Cloud']","['Early Access', 'Simulation', 'Early Access', 'Indie', 'Space', 'Sandbox', 'Space Sim', 'Physics', 'Building']",SimpleRockets 2,https://store.steampowered.com/app/870200/SimpleRockets_2/
2250,PokerStars VR,,,True,,886250,,358,Free To Play,,,http://steamcommunity.com/app/886250/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Online Multi-Player', 'Profile Features Limited\xa0', '', '', 'HTC Vive', 'Oculus Rift', 'Tracked Motion Controllers', 'Seated', 'Standing']","['Early Access', 'Free to Play', 'Casual', 'Strategy', 'VR', 'Early Access']",,https://store.steampowered.com/app/886250/PokerStars_VR/
2251,Kynseed,"PixelCount StudiosPublisher:PixelCount StudiosRelease Date: 8 Nov, 2018",,True,"['Indie', 'RPG', 'Simulation', 'Early Access']",758870,,295,999€,"Developer:PixelCount StudiosPixelCount StudiosRelease Date: 8 Nov, 2018","Developer:PixelCount StudiosPublisher:PixelCount Studios 8 Nov, 2018",http://steamcommunity.com/app/758870/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Full controller support']","['Early Access', 'RPG', 'Simulation', 'Pixel Graphics', 'Indie', 'Early Access', 'Great Soundtrack', 'Adventure', '2D']",Kynseed,https://store.steampowered.com/app/758870/Kynseed/
2253,Total War: WARHAMMER II - Curse of the Vampire Coast,"CREATIVE ASSEMBLY, Feral InteractivePublisher:SEGA, Feral InteractiveFranchise:Total War, WarhammerRelease Date: 8 Nov, 2018",,False,"['Action', 'Strategy']",835670,83.0,854,1749€,"Developer:CREATIVE ASSEMBLY, Feral InteractiveSEGA, Feral InteractiveFranchise:Total War, WarhammerRelease Date: 8 Nov, 2018","Developer:CREATIVE ASSEMBLY, Feral InteractivePublisher:SEGA, Feral InteractiveFranchise:Total War, Warhammer 8 Nov, 2018",http://steamcommunity.com/app/835670/reviews/?browsefilter=mostrecent&p=1,Mostly Positive,"['Single-player', 'Multi-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards']","['Strategy', 'Violent', 'Action', 'Vampire', 'Pirates']",Total War: WARHAMMER II - Curse of the Vampire Coast,https://store.steampowered.com/app/835670/Total_War_WARHAMMER_II__Curse_of_the_Vampire_Coast/
2254,Total War: WARHAMMER II - Lokhir Fellheart,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)Publisher:SEGA, Feral Interactive (Mac)Franchise:Total War, Feral Interactive (Mac), Feral Interactive (Linux), WarhammerRelease Date: 8 Nov, 2018",,False,"['Action', 'Strategy']",835671,,203,Free,"Developer:CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)SEGA, Feral Interactive (Mac)Franchise:Total War, Feral Interactive (Mac), Feral Interactive (Linux), WarhammerRelease Date: 8 Nov, 2018","Developer:CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)Publisher:SEGA, Feral Interactive (Mac)Franchise:Total War, Feral Interactive (Mac), Feral Interactive (Linux), Warhammer 8 Nov, 2018",http://steamcommunity.com/app/835671/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Multi-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards']","['Action', 'Strategy', 'Violent']",Total War: WARHAMMER II - Lokhir Fellheart,https://store.steampowered.com/app/835671/Total_War_WARHAMMER_II__Lokhir_Fellheart/
2282,The Shapeshifting Detective,"D'Avekki Studios Ltd, Wales InteractivePublisher:Wales InteractiveRelease Date: 6 Nov, 2018",,False,"['Adventure', 'Indie']",898650,66.0,271,1099€,"Developer:D'Avekki Studios Ltd, Wales InteractiveWales InteractiveRelease Date: 6 Nov, 2018","Developer:D'Avekki Studios Ltd, Wales InteractivePublisher:Wales Interactive 6 Nov, 2018",http://steamcommunity.com/app/898650/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']","['Adventure', 'Sexual Content', 'Indie', 'FMV', 'Detective', 'Choices Matter', 'Mystery', 'Nudity']",The Shapeshifting Detective,https://store.steampowered.com/app/898650/The_Shapeshifting_Detective/
2283,GRIP: Combat Racing,"Caged Element Inc.Publisher:Wired ProductionsRelease Date: 6 Nov, 2018",,False,"['Action', 'Indie', 'Racing']",396900,80.0,1397,1270€,"Developer:Caged Element Inc.Wired ProductionsRelease Date: 6 Nov, 2018","Developer:Caged Element Inc.Publisher:Wired Productions 6 Nov, 2018",http://steamcommunity.com/app/396900/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']","['Racing', 'Action', 'Indie', 'Futuristic', 'Multiplayer', 'Split Screen', 'Local Multiplayer', 'Fast-Paced', 'Great Soundtrack', 'Driving', 'Early Access', 'Sci-fi', 'Shooter', 'Singleplayer', 'Arcade']",GRIP: Combat Racing,https://store.steampowered.com/app/396900/GRIP_Combat_Racing/
2304,The Wall,"Aero GamesPublisher:Aero Games LLCRelease Date: 2 Nov, 2018",,True,"['Action', 'Indie', 'Massively Multiplayer', 'Strategy', 'Early Access']",719200,,146,819€,"Developer:Aero GamesAero Games LLCRelease Date: 2 Nov, 2018","Developer:Aero GamesPublisher:Aero Games LLC 2 Nov, 2018",http://steamcommunity.com/app/719200/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Online Multi-Player', 'Online Co-op', 'Cross-Platform Multiplayer', 'Profile Features Limited\xa0', '', '']","['Early Access', 'Early Access', 'Action', 'Massively Multiplayer', 'Strategy', 'Indie', 'FPS']",The Wall,https://store.steampowered.com/app/719200/The_Wall/
2322,Football Manager 2019,"Sports InteractivePublisher:SEGARelease Date: 2 Nov, 2018",,False,"['Simulation', 'Sports']",872790,86.0,2418,5499€,"Developer:Sports InteractiveSEGARelease Date: 2 Nov, 2018","Developer:Sports InteractivePublisher:SEGA 2 Nov, 2018",http://steamcommunity.com/app/872790/reviews/?browsefilter=mostrecent&p=1,Mostly Positive,"['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards']","['Simulation', 'Sports', 'Management', 'Soccer', 'Football', 'Strategy', 'Multiplayer', 'Singleplayer', 'Heist']",Football Manager 2019,https://store.steampowered.com/app/872790/Football_Manager_2019/
2356,Game Builder,"Area 120Publisher:Area 120Release Date: 1 Nov, 2018",,True,"['Free to Play', 'Indie', 'Simulation', 'Early Access']",929860,,183,Free,"Developer:Area 120Area 120Release Date: 1 Nov, 2018","Developer:Area 120Publisher:Area 120 1 Nov, 2018",http://steamcommunity.com/app/929860/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Steam Workshop', 'Includes level editor']","['Early Access', 'Free to Play', 'Indie', 'Early Access', 'Simulation', 'Sandbox', 'Building', 'Game Development', 'Multiplayer']",Game Builder,https://store.steampowered.com/app/929860/Game_Builder/
2357,Football Manager 2019 In-Game Editor,"Sports InteractivePublisher:SEGARelease Date: 1 Nov, 2018",,False,"['Simulation', 'Sports']",933720,,132,449€,"Developer:Sports InteractiveSEGARelease Date: 1 Nov, 2018","Developer:Sports InteractivePublisher:SEGA 1 Nov, 2018",http://steamcommunity.com/app/933720/reviews/?browsefilter=mostrecent&p=1,Mixed,"['Single-player', 'Multi-player', 'Downloadable Content', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards']","['Simulation', 'Sports']",Football Manager 2019 In-Game Editor,https://store.steampowered.com/app/933720/Football_Manager_2019_InGame_Editor/
2380,THE QUIET MAN™,"Square Enix, Human Head StudiosPublisher:Square EnixRelease Date: 1 Nov, 2018",,False,['Action'],790540,,321,1499€,"Developer:Square Enix, Human Head StudiosSquare EnixRelease Date: 1 Nov, 2018","Developer:Square Enix, Human Head StudiosPublisher:Square Enix 1 Nov, 2018",http://steamcommunity.com/app/790540/reviews/?browsefilter=mostrecent&p=1,Mostly Negative,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']","['Violent', 'Action', 'FMV', 'Story Rich']",THE QUIET MAN™,https://store.steampowered.com/app/790540/THE_QUIET_MAN/
2389,Combat Arms: Reloaded,"VALOFE, NEXONPublisher:VALOFERelease Date: 31 Oct, 2018",,False,"['Action', 'Free to Play', 'Massively Multiplayer', 'Simulation', 'Strategy']",905640,,862,Free To Play,"Developer:VALOFE, NEXONVALOFERelease Date: 31 Oct, 2018","Developer:VALOFE, NEXONPublisher:VALOFE 31 Oct, 2018",http://steamcommunity.com/app/905640/reviews/?browsefilter=mostrecent&p=1,Mixed,"['Single-player', 'Multi-player', 'Online Multi-Player', 'In-App Purchases', 'Profile Features Limited\xa0', '', '']","['Free to Play', 'FPS', 'Action', 'Massively Multiplayer', 'Strategy', 'Simulation', 'Shooter', 'Multiplayer', 'Controller', 'Zombies']",Combat Arms: Reloaded,https://store.steampowered.com/app/905640/Combat_Arms_Reloaded/
2392,Away,"Inversion SoftwarePublisher:Inversion SoftwareRelease Date: 31 Oct, 2018",,False,"['Adventure', 'Casual']",757910,,152,Free To Play,"Developer:Inversion SoftwareInversion SoftwareRelease Date: 31 Oct, 2018","Developer:Inversion SoftwarePublisher:Inversion Software 31 Oct, 2018",http://steamcommunity.com/app/757910/reviews/?browsefilter=mostrecent&p=1,Mostly Positive,"['Single-player', 'Steam Achievements', 'Captions available', 'Profile Features Limited\xa0', '', '']","['Adventure', 'Casual', 'Free to Play', 'Abstract', 'Singleplayer', 'Psychological Horror', 'Dark', 'Short', 'Atmospheric', 'Linear', 'Psychological', 'First-Person', 'Walking Simulator']",Away,https://store.steampowered.com/app/757910/Away/
2402,The Witch's House MV,"FummyPublisher:DANGEN EntertainmentRelease Date: 30 Oct, 2018",,False,"['Adventure', 'Casual', 'Indie', 'RPG']",885810,,339,1249€,"Developer:FummyDANGEN EntertainmentRelease Date: 30 Oct, 2018","Developer:FummyPublisher:DANGEN Entertainment 30 Oct, 2018",http://steamcommunity.com/app/885810/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Full controller support']","['Adventure', 'RPGMaker', 'Indie', 'Horror', 'RPG', 'Casual', '2D', 'Female Protagonist', 'Atmospheric']",The Witch's House MV,https://store.steampowered.com/app/885810/The_Witchs_House_MV/
2420,樱花片落恋模样 This is a very sweet love story.,"ParasolPublisher:StudioKanataRelease Date: 26 Oct, 2018",,False,['Adventure'],873290,,103,2499€,"Developer:ParasolStudioKanataRelease Date: 26 Oct, 2018","Developer:ParasolPublisher:StudioKanata 26 Oct, 2018",http://steamcommunity.com/app/873290/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Steam Trading Cards']","['Visual Novel', 'Sexual Content', 'Adventure', 'Anime', 'Dating Sim']",樱花片落恋模样 This is a very sweet love story.,https://store.steampowered.com/app/873290/_This_is_a_very_sweet_love_story/
2424,Call of Cthulhu®,"Cyanide StudioPublisher:Focus Home InteractiveRelease Date: 29 Oct, 2018",,False,"['Adventure', 'RPG']",399810,,1812,4499€,"Developer:Cyanide StudioFocus Home InteractiveRelease Date: 29 Oct, 2018","Developer:Cyanide StudioPublisher:Focus Home Interactive 29 Oct, 2018",http://steamcommunity.com/app/399810/reviews/?browsefilter=mostrecent&p=1,Mostly Positive,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","['Lovecraftian', 'Horror', 'Adventure', 'Psychological Horror', 'RPG', 'Atmospheric', 'Story Rich', 'Singleplayer', 'First-Person', 'Narration', 'Detective', 'Mystery', 'Walking Simulator', 'Survival Horror', 'FPS']",Call of Cthulhu®,https://store.steampowered.com/app/399810/Call_of_Cthulhu/
2443,The Ditzy Demons Are in Love With Me,"SMILEPublisher:Sekai ProjectRelease Date: 26 Oct, 2018",,False,['Adventure'],802870,,378,2099€,"Developer:SMILESekai ProjectRelease Date: 26 Oct, 2018","Developer:SMILEPublisher:Sekai Project 26 Oct, 2018",http://steamcommunity.com/app/802870/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","['Sexual Content', 'Nudity', 'Visual Novel', 'Anime', 'Adventure', 'FPS', 'Dating Sim']",The Ditzy Demons Are in Love With Me,https://store.steampowered.com/app/802870/The_Ditzy_Demons_Are_in_Love_With_Me/
2450,Mojo 2: Mia,"L. StotchPublisher:L. StotchFranchise:MojoRelease Date: 26 Oct, 2018",,False,"['Casual', 'Free to Play', 'Indie']",950530,,449,Free To Play,"Developer:L. StotchL. StotchFranchise:MojoRelease Date: 26 Oct, 2018","Developer:L. StotchPublisher:L. StotchFranchise:Mojo 26 Oct, 2018",http://steamcommunity.com/app/950530/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Profile Features Limited\xa0', '', '']","['Sexual Content', 'Nudity', 'Free to Play', 'Anime', 'Casual', 'Indie', 'Singleplayer', 'Fast-Paced', 'Short']",Mojo 2: Mia,https://store.steampowered.com/app/950530/Mojo_2_Mia/
2468,One-Way Ticket  / 单程票,"Light &amp; Digital TechnologyPublisher:Zodiac Interactive, HeyBox InteractiveFranchise:Zodiac InteractiveRelease Date: 24 Oct, 2018",,False,"['Casual', 'Indie', 'RPG']",856370,,206,399€,"Developer:Light &amp; Digital TechnologyZodiac Interactive, HeyBox InteractiveFranchise:Zodiac InteractiveRelease Date: 24 Oct, 2018","Developer:Light &amp; Digital TechnologyPublisher:Zodiac Interactive, HeyBox InteractiveFranchise:Zodiac Interactive 24 Oct, 2018",http://steamcommunity.com/app/856370/reviews/?browsefilter=mostrecent&p=1,Mixed,"['Single-player', 'Steam Achievements']","['Casual', 'Gore', 'RPG', 'Indie', 'Visual Novel']",One-Way Ticket  / 单程票,https://store.steampowered.com/app/856370/OneWay_Ticket/
2483,Beyond the Void,"B2ExpandPublisher:B2ExpandRelease Date: 24 Oct, 2018",,False,"['Free to Play', 'Indie', 'Strategy']",700570,,113,Free To Play,"Developer:B2ExpandB2ExpandRelease Date: 24 Oct, 2018","Developer:B2ExpandPublisher:B2Expand 24 Oct, 2018",http://steamcommunity.com/app/700570/reviews/?browsefilter=mostrecent&p=1,Mixed,"['Multi-player', 'Online Multi-Player']","['Free to Play', 'Strategy', 'Indie', 'Multiplayer', 'Space', 'MOBA', 'PvP']",Beyond the Void,https://store.steampowered.com/app/700570/Beyond_the_Void/
2491,The Colonists,"CodebyfirePublisher:Mode 7Release Date: 24 Oct, 2018",,False,"['Indie', 'Strategy']",677340,,256,2299€,"Developer:CodebyfireMode 7Release Date: 24 Oct, 2018","Developer:CodebyfirePublisher:Mode 7 24 Oct, 2018",http://steamcommunity.com/app/677340/reviews/?browsefilter=mostrecent&p=1,Mostly Positive,"['Single-player', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor']","['Strategy', 'Indie', 'City Builder', 'Cute', 'Building', 'Simulation', 'Relaxing', 'Resource Management']",The Colonists,https://store.steampowered.com/app/677340/The_Colonists/
2493,Lethal League Blaze,"Team ReptilePublisher:Team ReptileRelease Date: 24 Oct, 2018",,False,"['Action', 'Indie', 'Sports']",553310,,1561,1999€,"Developer:Team ReptileTeam ReptileRelease Date: 24 Oct, 2018","Developer:Team ReptilePublisher:Team Reptile 24 Oct, 2018",http://steamcommunity.com/app/553310/reviews/?browsefilter=mostrecent&p=1,Overwhelmingly Positive,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Cloud']","['Action', 'Indie', 'Great Soundtrack', 'Fighting', 'Sports', 'Fast-Paced', '2D Fighter', 'Competitive', 'Local Multiplayer', 'Soundtrack', 'Arcade', 'Online Co-Op', 'Multiplayer', 'Funny', 'e-sports', 'Psychological Horror', '4 Player Local', 'Anime']",Lethal League Blaze,https://store.steampowered.com/app/553310/Lethal_League_Blaze/
2497,Cities: Skylines - Industries,"Colossal Order Ltd.Publisher:Paradox InteractiveFranchise:Cities: SkylinesRelease Date: 23 Oct, 2018",,False,"['Simulation', 'Strategy']",715194,,336,1499€,"Developer:Colossal Order Ltd.Paradox InteractiveFranchise:Cities: SkylinesRelease Date: 23 Oct, 2018","Developer:Colossal Order Ltd.Publisher:Paradox InteractiveFranchise:Cities: Skylines 23 Oct, 2018",http://steamcommunity.com/app/715194/reviews/?browsefilter=mostrecent&p=1,Mostly Positive,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Includes level editor']","['Simulation', 'Strategy', 'City Builder', 'Singleplayer']",Cities: Skylines - Industries,https://store.steampowered.com/app/715194/Cities_Skylines__Industries/
2522,SINNER: Sacrifice for Redemption,"DARK STARPublisher:Another IndieRelease Date: 22 Oct, 2018",,False,"['Action', 'Indie']",691280,63.0,152,1899€,"Developer:DARK STARAnother IndieRelease Date: 22 Oct, 2018","Developer:DARK STARPublisher:Another Indie 22 Oct, 2018",http://steamcommunity.com/app/691280/reviews/?browsefilter=mostrecent&p=1,Mostly Positive,"['Single-player', 'Steam Achievements', 'Full controller support']","['Action', 'Indie', 'Souls-like', 'Dark Fantasy', 'Difficult', 'RPG', 'Singleplayer', 'Atmospheric', 'Adventure', 'Action RPG', 'Replay Value', 'Horror', 'Violent', 'Story Rich', 'Fantasy', 'Great Soundtrack']",SINNER: Sacrifice for Redemption,https://store.steampowered.com/app/691280/SINNER_Sacrifice_for_Redemption/
2528,WAR DUST | 32 vs 32 Battles,,,True,,957790,,656,2099€,,,http://steamcommunity.com/app/957790/reviews/?browsefilter=mostrecent&p=1,Mostly Positive,"['Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'HTC Vive', 'Oculus Rift', 'Windows Mixed Reality', 'Tracked Motion Controllers', 'Seated', 'Standing', 'Room-Scale']","['Early Access', 'Simulation', 'VR', 'Early Access', 'Action', 'Violent', 'Massively Multiplayer', 'FPS']",,https://store.steampowered.com/app/957790/WAR_DUST__32_vs_32_Battles/
2530,World War 3,"The Farm 51Publisher:The Farm 51Release Date: 19 Oct, 2018",,True,"['Action', 'Indie', 'Early Access']",674020,,11896,25--€,"Developer:The Farm 51The Farm 51Release Date: 19 Oct, 2018","Developer:The Farm 51Publisher:The Farm 51 19 Oct, 2018",http://steamcommunity.com/app/674020/reviews/?browsefilter=mostrecent&p=1,Mixed,"['Online Multi-Player', 'Partial Controller Support']","['Early Access', 'FPS', 'Multiplayer', 'War', 'Military', 'Early Access', 'Action', 'Shooter', 'First-Person', 'Realistic', 'Violent', 'Indie', 'Tactical', 'Gore', 'Singleplayer', 'Massively Multiplayer', 'Atmospheric', 'Difficult', 'Adventure', 'Co-op']",World War 3,https://store.steampowered.com/app/674020/World_War_3/
2553,Executive Assault 2,"Hesketh Studios LtdPublisher:Hesketh Studios LtdRelease Date: 18 Oct, 2018",,True,"['Action', 'Indie', 'Strategy', 'Early Access']",510500,,344,2099€,"Developer:Hesketh Studios LtdHesketh Studios LtdRelease Date: 18 Oct, 2018","Developer:Hesketh Studios LtdPublisher:Hesketh Studios Ltd 18 Oct, 2018",http://steamcommunity.com/app/510500/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer']","['Early Access', 'Strategy', 'Space', 'RTS', 'Base Building', 'Early Access', 'Action', 'Indie', 'Multiplayer', 'FPS', 'Sci-fi', 'Singleplayer', 'War', 'Co-op', 'Robots']",Executive Assault 2,https://store.steampowered.com/app/510500/Executive_Assault_2/
2558,BattleRush 2,"Thunder Devs.Publisher:Thunder Devs.Release Date: 18 Oct, 2018",,False,"['Action', 'Massively Multiplayer']",871990,,402,659€,"Developer:Thunder Devs.Thunder Devs.Release Date: 18 Oct, 2018","Developer:Thunder Devs.Publisher:Thunder Devs. 18 Oct, 2018",http://steamcommunity.com/app/871990/reviews/?browsefilter=mostrecent&p=1,Mixed,"['Single-player', 'Multi-player', 'MMO', 'Steam Trading Cards']","['Massively Multiplayer', 'Action', 'World War II', 'Gore', 'Violent', 'FPS', 'Singleplayer']",BattleRush 2,https://store.steampowered.com/app/871990/BattleRush_2/
2571,Kingdom Rush Origins,"Ironhide Game StudioPublisher:Ironhide Game StudioRelease Date: 17 Oct, 2018",,False,"['Indie', 'Strategy']",816340,,1130,1249€,"Developer:Ironhide Game StudioIronhide Game StudioRelease Date: 17 Oct, 2018","Developer:Ironhide Game StudioPublisher:Ironhide Game Studio 17 Oct, 2018",http://steamcommunity.com/app/816340/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Steam Achievements', 'Steam Cloud']","['Strategy', 'Tower Defense', 'Indie', 'Singleplayer', 'Fantasy', 'Pixel Graphics']",Kingdom Rush Origins,https://store.steampowered.com/app/816340/Kingdom_Rush_Origins/
2575,Wenjia,"Dilemmastudio-困境游戏Publisher:WhiteLakeStudioFranchise:WhiteLakeStudioRelease Date: 17 Oct, 2018",,False,['Indie'],933450,,232,739€,"Developer:Dilemmastudio-困境游戏WhiteLakeStudioFranchise:WhiteLakeStudioRelease Date: 17 Oct, 2018","Developer:Dilemmastudio-困境游戏Publisher:WhiteLakeStudioFranchise:WhiteLakeStudio 17 Oct, 2018",http://steamcommunity.com/app/933450/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Stats', 'Steam Leaderboards']","['Indie', 'Atmospheric', 'Adventure', '2D', 'Puzzle-Platformer', 'Action', 'Difficult', 'Exploration', 'RPG', 'Puzzle', 'Retro', 'Casual', 'Platformer', 'Side Scroller', 'Fantasy', 'Psychological Horror', 'Story Rich', 'Metroidvania', 'Family Friendly', '2.5D']",Wenjia,https://store.steampowered.com/app/933450/Wenjia/
2579,Great Hero's Beard,"OneSharkPublisher:SakuraGameRelease Date: 17 Oct, 2018",,False,"['Adventure', 'Casual', 'Indie', 'RPG']",935270,,590,095€,"Developer:OneSharkSakuraGameRelease Date: 17 Oct, 2018","Developer:OneSharkPublisher:SakuraGame 17 Oct, 2018",http://steamcommunity.com/app/935270/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']","['Casual', 'Indie', 'Adventure', 'RPG', 'Clicker']",Great Hero's Beard,https://store.steampowered.com/app/935270/Great_Heros_Beard/
2581,Horizon Chase Turbo,"Aquiris Game StudioPublisher:Aquiris Game StudioRelease Date: 15 May, 2018",,False,"['Action', 'Casual', 'Indie', 'Racing', 'Sports']",389140,76.0,616,1679€,"Developer:Aquiris Game StudioAquiris Game StudioRelease Date: 15 May, 2018","Developer:Aquiris Game StudioPublisher:Aquiris Game Studio 15 May, 2018",http://steamcommunity.com/app/389140/reviews/?browsefilter=mostrecent&p=1,Overwhelmingly Positive,"['Single-player', 'Local Multi-Player', 'Local Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']","['Racing', 'Indie', 'Casual', 'Sports', 'Action', 'Arcade', 'Local Multiplayer', 'Retro', 'Great Soundtrack', '4 Player Local']",Horizon Chase Turbo,https://store.steampowered.com/app/389140/Horizon_Chase_Turbo/
2586,Kingdom Come: Deliverance – The Amorous Adventures of Bold Sir Hans Capon,"Warhorse StudiosPublisher:Warhorse Studios, Deep SilverFranchise:Warhorse StudiosRelease Date: 16 Oct, 2018",,False,"['Action', 'Adventure', 'RPG']",921950,66.0,395,799€,"Developer:Warhorse StudiosWarhorse Studios, Deep SilverFranchise:Warhorse StudiosRelease Date: 16 Oct, 2018","Developer:Warhorse StudiosPublisher:Warhorse Studios, Deep SilverFranchise:Warhorse Studios 16 Oct, 2018",http://steamcommunity.com/app/921950/reviews/?browsefilter=mostrecent&p=1,Mixed,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","['Action', 'Adventure', 'RPG', 'Nudity', 'Sexual Content']",Kingdom Come: Deliverance – The Amorous Adventures of Bold Sir Hans Capon,https://store.steampowered.com/app/921950/Kingdom_Come_Deliverance__The_Amorous_Adventures_of_Bold_Sir_Hans_Capon/
2589,FOR HONOR™ : Marching Fire Expansion,"Ubisoft Montreal, Ubisoft Quebec, Ubisoft Toronto, Blue ByteRelease Date: 16 Oct, 2018",,False,['Action'],916430,,283,2999€,,"Developer:Ubisoft Montreal, Ubisoft Quebec, Ubisoft Toronto, Blue Byte 16 Oct, 2018",http://steamcommunity.com/app/916430/reviews/?browsefilter=mostrecent&p=1,Mixed,"['Single-player', 'Online Multi-Player', 'Online Co-op', 'Downloadable Content', 'Steam Trading Cards', 'In-App Purchases', 'Partial Controller Support']","['Action', 'Swordplay']",FOR HONOR™ : Marching Fire Expansion,https://store.steampowered.com/app/916430/FOR_HONOR__Marching_Fire_Expansion/
