,app_name,developer,discount_price,early_access,genres,id,metascore,n_reviews,price,publisher,release_date,reviews_url,sentiment,specs,tags,title,url
6255,La Tale - Evolved,"Actoz SoftPublisher:Papaya PlayRelease Date: 17 Nov, 2017",,False,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Massively Multiplayer', 'RPG']",721030,,215,Free To Play,"Developer:Actoz SoftPapaya PlayRelease Date: 17 Nov, 2017","Developer:Actoz SoftPublisher:Papaya Play 17 Nov, 2017",http://steamcommunity.com/app/721030/reviews/?browsefilter=mostrecent&p=1,Mixed,"['Single-player', 'Multi-player', 'Online Multi-Player', 'MMO', 'Online Co-op', 'In-App Purchases', 'Partial Controller Support']","['Free to Play', 'RPG', 'Massively Multiplayer', 'Action', 'Adventure', 'Casual', 'Anime', '2D', 'Side Scroller']",La Tale - Evolved,https://store.steampowered.com/app/721030/La_Tale__Evolved/
6263,Super Dungeon Boy,"Tower Up StudiosPublisher:Tower Up StudiosRelease Date: 29 Nov, 2017",,False,"['Action', 'Indie']",718180,,135,079€,"Developer:Tower Up StudiosTower Up StudiosRelease Date: 29 Nov, 2017","Developer:Tower Up StudiosPublisher:Tower Up Studios 29 Nov, 2017",http://steamcommunity.com/app/718180/reviews/?browsefilter=mostrecent&p=1,Mostly Positive,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Stats']","['Indie', 'Action', 'Platformer', 'Retro', '2D', 'Adventure', 'Singleplayer', 'Dungeon Crawler', 'Pixel Graphics', 'Side Scroller', 'Exploration', 'Atmospheric', 'Great Soundtrack', 'Replay Value', 'Fast-Paced', 'Controller', 'Difficult', 'Action-Adventure', 'Mystery Dungeon']",Super Dungeon Boy,https://store.steampowered.com/app/718180/Super_Dungeon_Boy/
6268,Village of Adventurers 2,"Tamamo StudioPublisher:Paradise ProjectRelease Date: 28 Nov, 2017",299€,False,"['Indie', 'RPG', 'Strategy']",727090,,170,999€,"Developer:Tamamo StudioParadise ProjectRelease Date: 28 Nov, 2017","Developer:Tamamo StudioPublisher:Paradise Project 28 Nov, 2017",http://steamcommunity.com/app/727090/reviews/?browsefilter=mostrecent&p=1,Mostly Positive,"['Single-player', 'Steam Trading Cards', 'Steam Cloud']","['Strategy', 'RPG', 'Indie', 'Anime', 'Sexual Content']",Village of Adventurers 2,https://store.steampowered.com/app/727090/Village_of_Adventurers_2/
6270,VoiceActress,"DieselminePublisher:DieselmineRelease Date: 28 Nov, 2017",,False,"['Casual', 'Indie', 'RPG']",753360,,175,166€,"Developer:DieselmineDieselmineRelease Date: 28 Nov, 2017","Developer:DieselminePublisher:Dieselmine 28 Nov, 2017",http://steamcommunity.com/app/753360/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Steam Trading Cards', 'Steam Cloud']","['Sexual Content', 'Nudity', 'Casual', 'RPG', 'Indie', 'Anime', 'Visual Novel']",VoiceActress,https://store.steampowered.com/app/753360/VoiceActress/
6272,Let`s not stay friends,"Violet FeaturePublisher:Violet FeatureRelease Date: 29 Nov, 2017",,False,"['Casual', 'Indie']",739980,,113,499€,"Developer:Violet FeatureViolet FeatureRelease Date: 29 Nov, 2017","Developer:Violet FeaturePublisher:Violet Feature 29 Nov, 2017",http://steamcommunity.com/app/739980/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']","['Sexual Content', 'Casual', 'Visual Novel', 'Otome', 'Indie', 'Female Protagonist', 'Romance', 'Dating Sim', 'Anime', 'Singleplayer', 'Choices Matter', 'Fantasy']",Let`s not stay friends,https://store.steampowered.com/app/739980/Lets_not_stay_friends/
6274,Carcassonne - Tiles & Tactics,"Asmodee Digital, Frima StudioPublisher:Asmodee DigitalRelease Date: 29 Nov, 2017",,False,"['Casual', 'Strategy']",598810,,212,999€,"Developer:Asmodee Digital, Frima StudioAsmodee DigitalRelease Date: 29 Nov, 2017","Developer:Asmodee Digital, Frima StudioPublisher:Asmodee Digital 29 Nov, 2017",http://steamcommunity.com/app/598810/reviews/?browsefilter=mostrecent&p=1,Mostly Positive,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'In-App Purchases', 'Steam Turn Notifications']","['Strategy', 'Board Game', 'Casual', 'Multiplayer', 'Turn-Based Strategy', 'Card Game', 'Family Friendly', 'Turn-Based', 'Addictive']",Carcassonne - Tiles &amp; Tactics,https://store.steampowered.com/app/598810/Carcassonne__Tiles__Tactics/
6275,My Free Zoo,"upjersPublisher:upjersRelease Date: 28 Nov, 2017",,False,"['Casual', 'Free to Play', 'Simulation']",694130,,180,Free To Play,"Developer:upjersupjersRelease Date: 28 Nov, 2017","Developer:upjersPublisher:upjers 28 Nov, 2017",http://steamcommunity.com/app/694130/reviews/?browsefilter=mostrecent&p=1,Mixed,"['Single-player', 'Online Co-op', 'Steam Trading Cards', 'In-App Purchases']","['Casual', 'Free to Play', 'Simulation', 'Management', 'Multiplayer', 'Building', 'Cute', 'Dinosaurs', 'Resource Management', 'Relaxing', 'Singleplayer', 'Clicker', 'City Builder', '2D', 'Colorful', 'Isometric', 'Adventure', 'Real-Time', 'Co-op', 'Strategy']",My Free Zoo,https://store.steampowered.com/app/694130/My_Free_Zoo/
6286,Desert Bus VR,,,False,,638110,,500,Free,,,http://steamcommunity.com/app/638110/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Steam Achievements', 'Partial Controller Support', 'HTC Vive', 'Oculus Rift', 'Tracked Motion Controllers', 'Gamepad', 'Keyboard / Mouse', 'Seated', 'Standing', 'Room-Scale']","['Free to Play', 'Psychological Horror', 'Simulation', 'Casual', 'VR', 'Memes', 'Open World', 'Multiplayer', 'Sexual Content', 'Nudity', 'Gore', 'Anime', 'Horror']",,https://store.steampowered.com/app/638110/Desert_Bus_VR/
6288,Eternal Hour: Golden Hour,"Seventh Heart StudiosPublisher:Sekai ProjectRelease Date: 27 Nov, 2017",,False,"['Adventure', 'Casual', 'Free to Play', 'Indie']",734910,,621,Free,"Developer:Seventh Heart StudiosSekai ProjectRelease Date: 27 Nov, 2017","Developer:Seventh Heart StudiosPublisher:Sekai Project 27 Nov, 2017",http://steamcommunity.com/app/734910/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']","['Sexual Content', 'Free to Play', 'Nudity', 'Visual Novel', 'Anime', 'Mature', 'Romance', 'Casual', 'Adventure', 'Indie', 'Cute', 'Story Rich', 'Singleplayer', '2D', 'Drama', 'Short', 'Psychological Horror']",Eternal Hour: Golden Hour,https://store.steampowered.com/app/734910/Eternal_Hour_Golden_Hour/
6289,Lines Infinite,"Konstructors EntertainmentPublisher:Konstructors EntertainmentFranchise:Konstructors EntertainmentRelease Date: 24 Nov, 2017",,False,"['Casual', 'Indie', 'Strategy']",733050,,109,099€,"Developer:Konstructors EntertainmentKonstructors EntertainmentFranchise:Konstructors EntertainmentRelease Date: 24 Nov, 2017","Developer:Konstructors EntertainmentPublisher:Konstructors EntertainmentFranchise:Konstructors Entertainment 24 Nov, 2017",http://steamcommunity.com/app/733050/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Steam Achievements', 'Steam Cloud']","['Casual', 'Indie', 'Strategy', 'Puzzle', 'Minimalist', 'Relaxing', 'Abstract']",Lines Infinite,https://store.steampowered.com/app/733050/Lines_Infinite/
